timestamp;rssi;rssi_media_dbm;snr;snr_media_db;bateria;qtd_amostras
2026-04-02 11:44:30;-68.00;-78.01;9.00;9.17;0.62;101
2026-04-02 11:45:04;-69.00;-77.72;9.00;9.17;0.62;102
2026-04-02 11:47:08;-71.00;-77.57;9.00;9.17;0.36;103
2026-04-02 11:49:12;-73.00;-77.49;9.00;9.17;0.67;104
2026-04-02 11:51:19;-68.00;-77.17;10.00;9.18;0.38;105
2026-04-02 11:53:21;-70.00;-77.00;9.00;9.18;0.39;106
2026-04-02 11:55:25;-72.00;-76.92;9.00;9.18;0.68;107
2026-04-02 11:57:29;-73.00;-76.86;10.00;9.18;0.65;108
2026-04-02 11:59:33;-68.00;-76.60;9.00;9.18;0.31;109
2026-04-02 12:01:38;-69.00;-76.42;10.00;9.19;0.61;110
2026-04-02 12:03:42;-67.00;-76.12;9.00;9.19;0.71;111
2026-04-02 12:05:44;-67.00;-75.85;9.00;9.19;0.70;112
2026-04-02 12:07:48;-67.00;-75.60;9.00;9.19;0.70;113
2026-04-02 12:09:52;-68.00;-75.43;10.00;9.19;0.65;114
2026-04-02 12:11:57;-70.00;-75.33;9.00;9.19;0.48;115
2026-04-02 12:14:01;-65.00;-74.98;9.00;9.19;0.75;116
2026-04-02 12:16:05;-66.00;-74.73;9.00;9.19;0.45;117
2026-04-02 12:18:10;-67.00;-74.55;9.00;9.19;0.63;118
2026-04-02 12:20:12;-71.00;-74.51;9.00;9.18;0.42;119
2026-04-02 12:22:16;-70.00;-74.44;9.00;9.18;0.67;120
2026-04-02 12:24:20;-73.00;-74.43;10.00;9.19;0.73;121
2026-04-02 12:26:24;-72.00;-74.40;10.00;9.20;0.75;122
2026-04-02 12:28:29;-72.00;-74.38;9.00;9.20;0.42;123
2026-04-02 12:30:33;-64.00;-74.04;9.00;9.20;0.52;124
2026-04-02 12:32:37;-69.00;-73.97;9.00;9.19;0.44;125
2026-04-02 12:34:42;-70.00;-73.92;12.00;9.22;0.56;126
2026-04-02 12:36:44;-69.00;-73.84;9.00;9.22;0.73;127
2026-04-02 12:38:48;-67.00;-73.72;9.00;9.22;0.74;128
2026-04-02 12:40:52;-65.00;-73.50;9.00;9.22;0.71;129
2026-04-02 12:42:57;-66.00;-73.35;9.00;9.22;0.36;130
2026-04-02 12:45:01;-66.00;-73.21;9.00;9.22;0.36;131
2026-04-02 12:47:05;-66.00;-73.07;9.00;9.21;0.61;132
2026-04-02 12:49:08;-68.00;-73.00;10.00;9.22;0.59;133
2026-04-02 12:51:12;-68.00;-72.93;9.00;9.22;0.70;134
2026-04-02 12:53:17;-68.00;-72.86;9.00;9.22;0.49;135
2026-04-02 12:55:21;-68.00;-72.80;9.00;9.22;0.57;136
2026-04-02 12:57:25;-68.00;-72.73;9.00;9.21;0.47;137
2026-04-02 12:59:30;-68.00;-72.67;9.00;9.21;0.46;138
2026-04-02 13:01:34;-67.00;-72.59;10.00;9.22;0.32;139
2026-04-02 13:03:36;-71.00;-72.57;9.00;9.22;0.41;140
2026-04-02 13:05:41;-68.00;-72.52;9.00;9.22;0.34;141
2026-04-02 13:07:45;-67.00;-72.44;10.00;9.22;0.45;142
2026-04-02 13:09:50;-67.00;-72.36;10.00;9.23;0.52;143
2026-04-02 13:11:54;-67.00;-72.29;9.00;9.23;0.32;144
2026-04-02 13:13:57;-68.00;-72.24;9.00;9.23;0.42;145
2026-04-02 13:16:01;-70.00;-72.22;9.00;9.22;0.71;146
2026-04-02 13:18:05;-71.00;-72.21;9.00;9.22;0.64;147
2026-04-02 13:20:10;-69.00;-72.18;9.00;9.22;0.74;148
